palabra,AI-ML-for-Coders-ch2.pdf,AI_and_Machine_Learning_for_Coders_A_Programmers_Guide_to_Artificial_Intelligence_by_Laurence_Moroney_z-lib_org.pdf,An AI Regression Model for Prediction NoX Emissison from Flame Image.pdf,Asset Framework_Beyond the Basics_Workbook.pdf,Best-Practices-for-Data-Management-In-Artificial-Intelligence-Applications-EN.pdf,Dataset - Content summary sheet.pdf,Deep Learning Enabled Fault Diagnosis Using Time-Frequency.pdf,"Deep Learning, I. Goodfellow, Y. Bengio, A. Courville, .pdf",dockerss (1).pdf,DW.pdf,Explainable AI for Bearing Fault Prognosis Using Deep.pdf,Gabor-GLCM-Based Texture Feature Extraction Using Flame Image O2 and NOx (2022).pdf,PI Vision Basics v2024.pdf,reinforcement-learning-industrial-applications-of-intelligent-agents-1098114833-9781098114831.pdf,Review on CNN in machine fault diagnosis.pdf
school,0,5,0,1,2,0,0,4,0,0,2,5,0,4,6
machine,9,109,4,0,21,1,16,749,0,0,103,4,3,161,128
artificial,1,13,16,0,12,0,5,68,0,0,6,0,0,40,12
deep,0,25,2,0,4,0,45,1064,0,0,25,5,0,221,147
learning,14,308,8,13,39,1,58,1985,0,0,49,5,0,1196,151
prediction,0,168,11,0,23,0,18,109,0,0,65,24,0,65,62
neural,20,155,5,0,4,0,22,798,0,0,33,16,0,105,134
network,31,249,6,0,14,0,28,1667,0,0,31,41,0,215,312
AI,104,1524,60,120,674,10,63,3583,0,0,349,92,65,1383,330
analysis,0,13,3,5,53,0,29,103,0,0,28,18,7,18,17
__TOTAL_PALABRAS__,4551,96439,4719,21091,28633,632,10538,305712,0,28,15458,7586,11723,141634,26104
